Arizona Cardinals,Cardinals,True
Arizona Cardinals,ARI,True
Cardinals,ARI,True
Dallas Cowboys,Arizona Cardinals,False
Arizona Cardinals,Seattle Seahawks,False
San Francisco 49ers,ARI,False
Atlanta Falcons,Falcons,True
Atlanta Falcons,ATL,True
Falcons,ATL,True
Dallas Cowboys,ATL,False
CLE,Atlanta Falcons,False
NO,Atlanta Falcons,False
Baltimore Ravens,Ravens,True
Baltimore Ravens,BAL,True
Ravens,BAL,True
Panthers,BAL,False
Ravens,TEN,False
Baltimore Ravens,Panthers,False
Buffalo Bills,Bills,True
Buffalo Bills,BUF,True
Bills,BUF,True
PHI,Buffalo Bills,False
BUF,Atlanta Falcons,False
Bills,Denver Broncos,False
Carolina Panthers,Panthers,True
Carolina Panthers,CAR,True
Panthers,CAR,True
CAR,BAL,False
New York Jets,Carolina Panthers,False
CAR,LA Chargers,False
Chicago Bears,Bears,True
Chicago Bears,CHI,True
Bears,CHI,True
CHI,Cleveland Browns,False
Carolina Panthers,Bears,False
Miami Dolphins,CHI,False
Cincinnati Bengals,Bengals,True
Cincinnati Bengals,CIN,True
Bengals,CIN,True
Green Bay Packers,CIN,False
Denver Broncos,Bengals,False
CIN,LAR,False
Cleveland Browns,Browns,True
Cleveland Browns,CLE,True
Browns,CLE,True
Seahawks,Cleveland Browns,False
Vikings,Cleveland Browns,False
CLE,Buffalo Bills,False
Dallas Cowboys,Cowboys,True
Dallas Cowboys,DAL,True
Cowboys,DAL,True
Cowboys,TB,False
DAL,PHI,False
DAL,Bears,False
Denver Broncos,Broncos,True
Denver Broncos,DEN,True
Broncos,DEN,True
Broncos,NE,False
DEN,Miami Dolphins,False
Denver Broncos,Lions,False
Detroit Lions,Lions,True
Detroit Lions,DET,True
Lions,DET,True
DET,HOU,False
DET,Dallas Cowboys,False
Lions,Giants,False
Green Bay Packers,Packers,True
Green Bay Packers,GB,True
Packers,GB,True
Green Bay Packers,Lions,False
GB,New York Jets,False
Packers,Denver Broncos,False
Houston Texans,Texans,True
Houston Texans,HOU,True
Texans,HOU,True
Carolina Panthers,Houston Texans,False
Houston Texans,New York Giants,False
Houston Texans,Seahawks,False
Indianapolis Colts,Colts,True
Indianapolis Colts,IND,True
Colts,IND,True
Indianapolis Colts,Chicago Bears,False
IND,Broncos,False
Buffalo Bills,Indianapolis Colts,False
